    #,     Theta,  TwoTheta, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,    Temp1,    Temp2,      ch5,      ch6,      ch7,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     TEMP,   TTIMER,    CTEMP,    Timer,   gkcnt1,   gkcnt2,  keith_I,  keith_V,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,   gkadc1,   gkadc2,     kpow
  372,      1.86,      3.72,      853,   256378,   1.0000,    22358,      240,     0000, 0.0033271186,        0,        0,      853,   128561,   128204,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  373,     1.865,      3.73,      820,   256395,   1.0000,    22361,      240,     0000, 0.0031981903,        0,        0,      820,   128439,   128365,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  374,      1.87,      3.74,      767,   256421,   1.0000,    22362,      238,     0000, 0.0029911747,        0,        0,      767,   128471,   128313,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  375,     1.875,      3.75,      805,   256465,   1.0000,    22363,      238,     0000, 0.0031388299,        0,        0,      805,   128536,   128287,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  376,      1.88,      3.76,      751,   256564,   1.0000,    22369,      238,     0000, 0.0029271449,        0,        0,      751,   128652,   128225,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  377,     1.885,      3.77,      725,   256641,   1.0000,    22378,      238,     0000, 0.0028249578,        0,        0,      725,   128754,   128200,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  378,      1.89,      3.78,      802,   256634,   1.0000,    22379,      238,     0000, 0.0031250731,        0,        0,      802,   128838,   128165,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  379,     1.895,      3.79,      811,   256725,   1.0000,    22377,      238,     0000, 0.0031590223,        0,        0,      811,   128906,   128116,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  380,       1.9,       3.8,      766,   256736,   1.0000,    22390,      237,     0000, 0.0029836096,        0,        0,      766,   128904,   128163,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  381,     1.905,      3.81,      726,   256687,   1.0000,    22395,      237,     0000, 0.0028283474,        0,        0,      726,   128763,   128381,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  382,      1.91,      3.82,      718,   256744,   1.0000,    22385,      236,     0000, 0.00279656,        0,        0,      718,   128832,   128271,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  383,     1.915,      3.83,      689,   256668,   1.0000,    22380,      237,     0000, 0.0026844016,        0,        0,      689,   128821,   128223,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  384,      1.92,      3.84,      726,   256822,   1.0000,    22385,      238,     0000, 0.0028268606,        0,        0,      726,   128835,   128257,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  385,     1.925,      3.85,      790,   256931,   1.0000,    22402,      239,     0000, 0.0030747555,        0,        0,      790,   128945,   128237,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  386,      1.93,      3.86,      718,   256886,   1.0000,    22407,      238,     0000, 0.0027950141,        0,        0,      718,   128997,   128260,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  387,     1.935,      3.87,      744,   256864,   1.0000,    22414,      238,     0000, 0.0028964744,        0,        0,      744,   129000,   128268,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  388,      1.94,      3.88,      757,   256825,   1.0000,    22404,      238,     0000, 0.0029475324,        0,        0,      757,   129050,   128157,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  389,     1.945,      3.89,      722,   256768,   1.0000,    22403,      238,     0000, 0.0028118769,        0,        0,      722,   128992,   128178,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  390,      1.95,       3.9,      717,   256690,   1.0000,    22403,      239,     0000, 0.0027932526,        0,        0,      717,   128795,   128285,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
