    #,     Theta,  TwoTheta, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,    Temp1,    Temp2,      ch5,      ch6,      ch7,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     TEMP,   TTIMER,    CTEMP,    Timer,   gkcnt1,   gkcnt2,  keith_I,  keith_V,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,   gkadc1,   gkadc2,     kpow
   36,     0.216,     0.432,        1,      142,   0.3000,    53867,      235,     1100, 0.14144744,        0,        0,        1,    55646,    55304,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,    52957,   115543,    19456,   195080,      306,      493,   331435,      647,      760,     3252,   633155,   601000,      876,      918,     7651,   587398,        0,        0,        0
   37,     0.222,     0.444,        0,      141,   0.3000,    53860,      236,     1100,        0,        0,        0,        0,    55620,    55310,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,    28008,    61175,     5178,   158833,      239,      347,   226173,      569,      552,     3333,   511072,   421491,      779,      758,     9168,   542146,        0,        0,        0
   38,     0.228,     0.456,        0,      143,   0.3000,    53869,      235,     1100,        0,        0,        0,        0,    55579,    55366,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,     9939,    21816,     1272,    99056,      151,      195,   122764,      431,      433,     5526,   405878,   277882,      636,      608,    10445,   474782,        0,        0,        0
   39,     0.234,     0.468,        0,      143,   0.3000,    53853,      236,     1100,        0,        0,        0,        0,    55582,    55334,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,     2134,     4864,      683,    41915,       91,       92,    47794,      311,      327,     8176,   300908,   155644,      502,      529,    10857,   410132,        0,        0,        0
   40,      0.24,      0.48,        0,      141,   0.3000,    53840,      235,     1100,        0,        0,        0,        0,    55495,    55398,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,      504,     1191,      870,    10911,       60,       69,    13129,      260,      259,    11497,   187848,    71085,      425,      453,    10714,   330750,        0,        0,        0
   41,     0.246,     0.492,        0,      143,   0.3000,    53876,      236,     1100,        0,        0,        0,        0,    55502,    55462,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,      368,      839,     2302,     2162,       39,       52,     5403,      169,      189,    13545,    96386,    29915,      318,      319,     9237,   247728,        0,        0,        0
   42,     0.252,     0.504,        0,     8447,   0.3000,    53872,      237,     0000,        0,        0,        0,        0,    55599,    55360,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,    45170,   105388,   343192,    65887,     2787,     2805,   519898,     9263,     9350,   929269,  2819588,  1324094,    16952,    16957,   470250,  9818963,        0,        0,        0
   43,     0.258,     0.516,        0,     1985,   0.3000,    53829,      235,     1000,        0,        0,        0,        0,    55564,    55317,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,    29702,    67425,   128505,    15417,      620,      575,   212707,     1677,     1759,   189624,   273025,   357585,     3055,     3017,    75091,  1777129,        0,        0,        0
   44,     0.264,     0.528,        0,     1986,   0.3000,    53825,      235,     1000,        0,        0,        0,        1,    55519,    55344,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,    62068,   139184,   156054,    40285,      605,      557,   337136,     1361,     1432,   141684,   100428,   456061,     2438,     2412,    47979,  1072325,        0,        0,        0
   45,      0.27,      0.54,        0,     1983,   0.3000,    53813,      236,     1000,        0,        0,        0,        0,    55558,    55285,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,    92800,   204642,   148061,   106886,      638,      608,   461419,     1170,     1196,    91265,    50597,   555075,     1879,     1915,    31800,   605620,        0,        0,        0
   46,     0.276,     0.552,        0,     1985,   0.3000,    53827,      236,     1000,        0,        0,        0,        0,    55517,    55349,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,   106729,   234479,   115262,   192729,      619,      675,   544451,      971,     1013,    53753,    75960,   643493,     1589,     1571,    25057,   351780,        0,        0,        0
