    #,     Theta,  TwoTheta, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,    Temp1,    Temp2,      ch5,      ch6,      ch7,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     TEMP,   TTIMER,    CTEMP,    Timer,   gkcnt1,   gkcnt2,  keith_I,  keith_V,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,   gkadc1,   gkadc2,     kpow
  135,     0.675,      1.35,    16380,   262754,   1.0000,    22723,      181,     0000, 0.062339679,        0,        0,    16380,   131310,   130937,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  136,      0.68,      1.36,    17320,   262934,   1.0000,    22735,      181,     0000, 0.065872044,        0,        0,    17320,   131328,   130987,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  137,     0.685,      1.37,    18004,   262848,   1.0000,    22737,      180,     0000, 0.068495861,        0,        0,    18002,   131392,   130978,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  138,      0.69,      1.38,    18760,   262792,   1.0000,    22740,      180,     0000, 0.071387257,        0,        0,    18761,   131255,   131084,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  139,     0.695,      1.39,     3910,   262732,   1.0000,    13803,      182,     1000, 0.07371145,        0,        0,     3910,   131223,   131138,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  140,       0.7,       1.4,     4206,   262919,   1.0000,     8343,      183,     1000, 0.079235256,        0,        0,     4206,   131455,   130922,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  141,     0.705,      1.41,     4202,   262923,   1.0000,     5789,      182,     1000, 0.079158698,        0,        0,     4202,   131532,   130911,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  142,      0.71,      1.42,     4502,   262836,   1.0000,     4927,      183,     1000, 0.084838272,        0,        0,     4502,   131454,   130966,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  143,     0.715,      1.43,     4556,   262871,   1.0000,     4740,      182,     1000, 0.085844447,        0,        0,     4556,   131276,   131111,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  144,      0.72,      1.44,     4878,   262869,   1.0000,     4697,      183,     1000, 0.091912292,        0,        0,     4878,   131256,   131137,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  145,     0.725,      1.45,     5000,   262757,   1.0000,     4680,      183,     1000, 0.094251198,        0,        0,     5000,   131260,   131081,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  146,      0.73,      1.46,     5115,   262698,   1.0000,     4671,      183,     1000, 0.096440631,        0,        0,     5115,   131253,   130984,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
